id,created_at,text,media_url
708447632620793856,2016-03-12 00:20:52,RT @ana_maiques: Ready to take stage at #nearfuturesummit @Neuroelectrics let's create thefuture https://t.co/Y0Fvt5Z57t,http://pbs.twimg.com/media/CdShJ_zUAAQv2s1.jpg
708447268718817284,2016-03-12 00:19:25,"RT @jamesjoaquin: Welcome to vat-grown beef, coming to your kitchen in the #NearFuture @MemphisMeats https://t.co/5RambDMEgH",http://pbs.twimg.com/media/CdNLlGWUUAAoQ1s.jpg
708426270703427584,2016-03-11 22:55:59,RT @alex01: @adamgazz using #videogames to enhance the mind #NearFuture #VR #games #neuroscience @UCSF https://t.co/Qra9wpkjHQ,http://pbs.twimg.com/media/CdS-NsSUkAAy3fC.jpg
708384579128668160,2016-03-11 20:10:19,RT @BruceHecht: @adamgazz : @nearfuturenow on the intersection of #AI and #brainscience hosted by @zem #NearFuture https://t.co/oL7hhFFMft,http://pbs.twimg.com/media/CdSlXIOVAAA_g_d.jpg
708125753821437952,2016-03-11 03:01:50,"RT @obviousvc: Linda Avey, co-founder of 23andMe, launches her new startup @WeAreCurious at #NearFuture https://t.co/on93655WDs",http://pbs.twimg.com/media/CdOwGI8VAAA7FZa.jpg
707992218913472513,2016-03-10 18:11:13,RT @obviousvc: Dr. Caitlin Powers showing the Solsource solar stove at #NearFuture @OneEarthDesigns https://t.co/4QbENgR9jD,http://pbs.twimg.com/media/CdNCwaFVAAAtA62.jpg
707754255248003072,2016-03-10 02:25:38,RT @ariannahuff: At #NearFuture organized by my great friend @zem in #LaJolla w @Ev and @davepell from @NextDraft. https://t.co/jVGtSlE93R,http://pbs.twimg.com/media/CdJwGq7XIAE3TQa.jpg
707746806906552320,2016-03-10 01:56:02,RT @tiffanyshlain: Fantastic opening for @nearfuturenow conference by badass @zem #worldpositive https://t.co/bnKEHENkbB,http://pbs.twimg.com/media/CdJpgz4WIAQsCu-.jpg
707715954432561152,2016-03-09 23:53:26,RT @nadineweil: The opening of the @nearfuturenow summit. Congrats @zem! #worldpositive https://t.co/TfdHHfnqLB,http://pbs.twimg.com/media/CdJOQX1UEAAhJ7v.jpg
701090909165789184,2016-02-20 17:07:53,RT @climatebabes: #WorldOceansDay   more climatebabes : https://t.co/LaTLxUGBVD https://t.co/3mf4GWmmLY,http://pbs.twimg.com/media/CbofliWXIAA-AFu.jpg
